Date,Description,Debit,Credit,Balance
30-Aug-20,Transfer,"1,186.40",0,"474,265.27"
30-Aug-20,Commission,0,"59,283.16","414,982.11"
30-Aug-20,IMPS,"1,660,388.80",0,"2,075,370.91"
30-Aug-20,IMPS,57.4,0,"2,075,428.31"
30-Aug-20,Cash,0,"1,037,714.16","1,037,714.16"
30-Aug-20,Miscellaneous,31,0,"1,037,745.16"
30-Aug-20,Cheque,0,"172,957.53","864,787.63"
30-Aug-20,ATM,0,"123,541.09","741,246.54"
30-Aug-20,NEFT,"65,880.00",0,"807,126.54"
30-Aug-20,Interest,0,"201,781.64","605,344.90"
30-Aug-20,Cash,494.83,0,"605,839.73"
30-Aug-20,Bill,"3,536.00",0,"609,375.73"
30-Aug-20,NEFT,0,"67,708.41","541,667.32"
30-Aug-20,Purchase,6,0,"541,673.32"
30-Aug-20,Bill,"180,559.70",0,"722,233.02"
30-Aug-20,Cash,"220,568.00",0,"942,801.02"
30-Aug-20,Reversal,"1,107,811.20",0,"2,050,612.22"
30-Aug-20,IMPS,0,"512,653.06","1,537,959.16"
30-Aug-20,Bill,29.4,0,"1,537,988.56"
30-Aug-20,Transfer,"143,399.80",0,"1,681,388.36"
30-Aug-20,Commission,194.1,0,"1,681,582.46"
30-Aug-20,IMPS,0,"210,197.81","1,471,384.65"
30-Aug-20,Cash,0,"147,138.47","1,324,246.18"
30-Aug-20,Miscellaneous,"5,157.00",0,"1,329,403.18"
30-Aug-20,Bill,0,"189,914.74","1,139,488.44"
30-Aug-20,RTGS,162.76,0,"1,139,651.20"
30-Aug-20,Bill,3.1,0,"1,139,654.30"
30-Aug-20,Reversal,"144,930.60",0,"1,284,584.90"
30-Aug-20,IMPS,34.63,0,"1,284,619.53"
30-Aug-20,Reversal,0,"321,154.88","963,464.65"
30-Aug-20,Commission,31.5,0,"963,496.15"
30-Aug-20,Bill,0,"107,055.13","856,441.02"
30-Aug-20,Bill,0,"142,740.17","713,700.85"
30-Aug-20,NEFT,"112,441.00",0,"826,141.85"
30-Aug-20,NEFT,"187,519.60",0,"1,013,661.45"
30-Aug-20,RTGS,"1,544,042.50",0,"2,557,703.95"
30-Aug-20,Purchase,0,"426,283.99","2,131,419.96"
30-Aug-20,Interest,"198,352.50",0,"2,329,772.46"
31-Aug-20,IMPS,"223,506.00",0,"2,553,278.46"
31-Aug-20,Bill,0,"638,319.62","1,914,958.84"
31-Aug-20,Cheque,0,"319,159.81","1,595,799.03"
31-Aug-20,Transfer,591.7,0,"1,596,390.73"
31-Aug-20,Commission,"1,111,491.00",0,"2,707,881.73"
31-Aug-20,Bill,0,"902,627.24","1,805,254.49"
31-Aug-20,RTGS,"24,937.38",0,"1,830,191.87"
31-Aug-20,Cheque,0,"457,547.97","1,372,643.90"
31-Aug-20,Tax,"184,050.70",0,"1,556,694.60"
31-Aug-20,Cheque,22,0,"1,556,716.60"
31-Aug-20,Interest,122.2,0,"1,556,838.80"
31-Aug-20,Cash,"1,455.10",0,"1,558,293.90"
31-Aug-20,RTGS,0,"779,146.95","779,146.95"
31-Aug-20,Cheque,157.47,0,"779,304.42"
31-Aug-20,NEFT,0,"97,413.05","681,891.37"
31-Aug-20,Transfer,0,"85,236.42","596,654.95"
31-Aug-20,Reversal,"32,420.43",0,"629,075.38"
31-Aug-20,Bill,0,"62,907.54","566,167.84"
31-Aug-20,NEFT,0,"188,722.61","377,445.23"
31-Aug-20,NEFT,0,"37,744.52","339,700.71"
31-Aug-20,Cheque,"40,474.00",0,"380,174.71"
31-Aug-20,Cheque,0,"54,310.67","325,864.04"
31-Aug-20,IMPS,"9,877.00",0,"335,741.04"
31-Aug-20,Transfer,0,"33,574.10","302,166.94"
31-Aug-20,ATM,0,"30,216.69","271,950.25"
31-Aug-20,Transfer,0,"90,650.08","181,300.17"
31-Aug-20,Reversal,0,"25,900.02","155,400.15"
31-Aug-20,Tax,"18,300.27",0,"173,700.42"
31-Aug-20,IMPS,0,"43,425.11","130,275.32"
31-Aug-20,Debit Card,0,"65,137.66","65,137.66"
31-Aug-20,RTGS,0,"32,568.83","32,568.83"
31-Aug-20,Reversal,0,"16,284.42","16,284.42"
31-Aug-20,ATM,"30,287.00",0,"46,571.42"
31-Aug-20,NEFT,"218,795.70",0,"265,367.12"
31-Aug-20,Commission,0,"37,909.59","227,457.53"
31-Aug-20,Transfer,0,"25,273.06","202,184.47"
31-Aug-20,RTGS,7,0,"202,191.47"
31-Aug-20,Interest,0,"25,273.93","176,917.54"
31-Aug-20,Bill,0,"17,691.75","159,225.79"
31-Aug-20,Purchase,0,"22,746.54","136,479.25"
31-Aug-20,Bill,369,0,"136,848.25"
31-Aug-20,Interest,202.47,0,"137,050.72"
31-Aug-20,Bill,0,"15,227.86","121,822.86"
31-Aug-20,Commission,4,0,"121,826.86"
31-Aug-20,Reversal,482.3,0,"122,309.16"
31-Aug-20,Transfer,7.8,0,"122,316.96"
31-Aug-20,Reversal,"1,510,102.20",0,"1,632,419.16"
31-Aug-20,NEFT,0,"816,209.58","816,209.58"
31-Aug-20,Cash,0,"272,069.86","544,139.72"
31-Aug-20,Transfer,"1,914,889.50",0,"2,459,029.22"
31-Aug-20,Debit Card,0,"245,902.92","2,213,126.30"
31-Aug-20,Cheque,0,"737,708.77","1,475,417.53"
31-Aug-20,Debit Card,0,"491,805.84","983,611.69"
31-Aug-20,Miscellaneous,179.6,0,"983,791.29"
31-Aug-20,Interest,"23,452.90",0,"1,007,244.19"
31-Aug-20,Purchase,"21,964.97",0,"1,029,209.16"
31-Aug-20,Reversal,366.39,0,"1,029,575.55"
31-Aug-20,Interest,0,"147,082.22","882,493.33"
31-Aug-20,Purchase,0,"882,493.33",0
31-Aug-20,Commission,"93,929.00",0,"93,929.00"
31-Aug-20,ATM,"1,980.10",0,"95,909.10"
31-Aug-20,Transfer,"24,624.00",0,"120,533.10"
31-Aug-20,Miscellaneous,0,"17,219.01","103,314.09"
31-Aug-20,Cheque,0,"34,438.03","68,876.06"
31-Aug-20,Purchase,"1,181,375.75",0,"1,250,251.81"
31-Aug-20,Cheque,0,"125,025.18","1,125,226.63"
31-Aug-20,Cheque,2.1,0,"1,125,228.73"
31-Aug-20,IMPS,0,"375,076.24","750,152.49"
31-Aug-20,Debit Card,"27,255.80",0,"777,408.29"
31-Aug-20,Reversal,"584,944.00",0,"1,362,352.29"
31-Aug-20,Cash,0,"340,588.07","1,021,764.22"
31-Aug-20,Commission,"1,794.00",0,"1,023,558.22"
31-Aug-20,ATM,252.6,0,"1,023,810.82"
31-Aug-20,NEFT,6.1,0,"1,023,816.92"
31-Aug-20,NEFT,"397,867.25",0,"1,421,684.17"
31-Aug-20,IMPS,503.33,0,"1,422,187.50"
31-Aug-20,Cash,0,"237,031.25","1,185,156.25"
31-Aug-20,Purchase,"1,182.14",0,"1,186,338.39"
31-Aug-20,IMPS,0,"118,633.84","1,067,704.55"
31-Aug-20,Transfer,0,"133,463.07","934,241.48"
31-Aug-20,Interest,29,0,"934,270.48"
31-Aug-20,Reversal,0,"93,427.05","840,843.43"
31-Aug-20,Transfer,0,"140,140.57","700,702.86"
31-Aug-20,Tax,0,"140,140.57","560,562.29"
31-Aug-20,Bill,0,"140,140.57","420,421.72"
31-Aug-20,Cheque,0,"105,105.43","315,316.29"
31-Aug-20,Debit Card,"27,911.30",0,"343,227.59"
31-Aug-20,ATM,0,"114,409.20","228,818.39"
31-Aug-20,Purchase,"2,651.66",0,"231,470.05"
31-Aug-20,Tax,0,"33,067.15","198,402.90"
31-Aug-20,Cash,"15,068.00",0,"213,470.90"
31-Aug-20,IMPS,0,"71,156.97","142,313.93"
31-Aug-20,Tax,"1,736,261.00",0,"1,878,574.93"
31-Aug-20,Reversal,3.4,0,"1,878,578.33"
31-Aug-20,Bill,46.9,0,"1,878,625.23"
31-Aug-20,Cheque,"81,164.00",0,"1,959,789.23"
31-Aug-20,Cheque,"2,129.00",0,"1,961,918.23"
31-Aug-20,Interest,0,"326,986.37","1,634,931.86"
31-Aug-20,Tax,0,"1,634,931.86",0
31-Aug-20,Commission,526.5,0,526.5
31-Aug-20,Bill,0,175.5,351
31-Aug-20,Interest,4.1,0,355.1
31-Aug-20,Tax,"118,212.00",0,"118,567.10"
31-Aug-20,Purchase,0,"19,761.18","98,805.92"
31-Aug-20,Debit Card,"3,159.00",0,"101,964.92"
31-Aug-20,IMPS,1.5,0,"101,966.42"
31-Aug-20,RTGS,"30,487.00",0,"132,453.42"
31-Aug-20,Tax,0,"66,226.71","66,226.71"
31-Aug-20,Miscellaneous,7,0,"66,233.71"
31-Aug-20,RTGS,4.7,0,"66,238.41"
31-Aug-20,Cash,0,"33,119.21","33,119.20"
31-Aug-20,Miscellaneous,"95,695.00",0,"128,814.20"
31-Aug-20,Bill,0,"32,203.55","96,610.65"
31-Aug-20,Transfer,0,"13,801.52","82,809.13"
31-Aug-20,Bill,0,"9,201.01","73,608.12"
31-Aug-20,Interest,"1,174,755.00",0,"1,248,363.12"
31-Aug-20,NEFT,"6,036.36",0,"1,254,399.48"
31-Aug-20,NEFT,"134,223.00",0,"1,388,622.48"
31-Aug-20,Cash,"6,417.69",0,"1,395,040.17"
31-Aug-20,Interest,4,0,"1,395,044.17"
31-Aug-20,Miscellaneous,"15,041.70",0,"1,410,085.87"
31-Aug-20,Purchase,0,"705,042.94","705,042.94"
31-Aug-20,Debit Card,0,"100,720.42","604,322.52"
31-Aug-20,Debit Card,"31,514.39",0,"635,836.91"
31-Aug-20,Cash,0,"317,918.46","317,918.46"
31-Aug-20,Purchase,7.04,0,"317,925.50"
31-Aug-20,IMPS,0,"105,975.17","211,950.33"
31-Aug-20,Bill,476.95,0,"212,427.28"
31-Aug-20,Purchase,"1,139,951.75",0,"1,352,379.03"
31-Aug-20,Transfer,0,"676,189.52","676,189.52"
31-Aug-20,Cash,0,"75,132.17","601,057.35"
31-Aug-20,NEFT,"33,497.88",0,"634,555.23"
31-Aug-20,Bill,0,"79,319.40","555,235.83"
31-Aug-20,Transfer,0,"185,078.61","370,157.22"
31-Aug-20,Cheque,0,"185,078.61","185,078.61"
01-Sept-20,Purchase,0,"26,439.80","158,638.81"
01-Sept-20,Debit Card,0,"39,659.70","118,979.11"
01-Sept-20,Tax,3,0,"118,982.11"
01-Sept-20,Miscellaneous,"27,781.43",0,"146,763.54"
01-Sept-20,Bill,0.81,0,"146,764.35"
01-Sept-20,ATM,0,"29,352.87","117,411.48"
01-Sept-20,Purchase,0,"13,045.72","104,365.76"
01-Sept-20,Miscellaneous,69.3,0,"104,435.06"
01-Sept-20,Commission,0,"14,919.29","89,515.77"
01-Sept-20,Commission,0,"12,787.97","76,727.80"
01-Sept-20,Debit Card,0,"8,525.31","68,202.49"
01-Sept-20,Tax,"1,557.30",0,"69,759.79"
01-Sept-20,Debit Card,0,"34,879.90","34,879.89"
01-Sept-20,Commission,38.4,0,"34,918.29"
01-Sept-20,IMPS,"125,529.60",0,"160,447.89"
01-Sept-20,ATM,0,"32,089.58","128,358.31"
01-Sept-20,Reversal,"4,463.10",0,"132,821.41"
01-Sept-20,Commission,0,"13,282.14","119,539.27"
01-Sept-20,Cheque,0,"13,282.14","106,257.13"
01-Sept-20,Purchase,"1,975.10",0,"108,232.23"
01-Sept-20,Miscellaneous,"3,655.22",0,"111,887.45"
01-Sept-20,NEFT,96.15,0,"111,983.60"
01-Sept-20,Interest,6.9,0,"111,990.50"
01-Sept-20,Commission,7.24,0,"111,997.74"
